"Contenedor","Tipo","M̩trica_Promedio","Comando"
"pos_backend","CPU",33.30,"ps aux --sort=-"
"pos_backend","CPU",0.40,"/opt/java/openjdk/bin/java -XX:TieredStopAtLevel=1 -cp /app/target/classes:/root/.m2/repository/ch/qos/logback/logback-classic/1.5.18/logback-classic-1.5.18.jar:/root/.m2/repository/ch/qos/logback/logback-core/1.5.18/logback-core-1.5.18.jar:/root/.m2/repository/org/apache/logging/log4j/log4j-to-slf4j/2.24.3/log4j-to-slf4j-2.24.3.jar:/root/.m2/repository/org/apache/logging/log4j/log4j-api/2.24.3/log4j-api-2.24.3.jar:/root/.m2/repository/org/slf4j/jul-to-slf4j/2.0.17/jul-to-slf4j-2.0.17.jar:/root/.m2/repository/jakarta/annotation/jakarta.annotation-api/2.1.1/jakarta.annotation-api-2.1.1.jar:/root/.m2/repository/org/yaml/snakeyaml/2.4/snakeyaml-2.4.jar:/root/.m2/repository/org/springframework/boot/spring-boot-actuator-autoconfigure/3.5.0/spring-boot-actuator-autoconfigure-3.5.0.jar:/root/.m2/repository/org/springframework/boot/spring-boot-actuator/3.5.0/spring-boot-actuator-3.5.0.jar:/root/.m2/repository/com/fasterxml/jackson/datatype/jackson-datatype-jsr310/2.19.0/jackson-datatype-jsr310-2.19.0.jar:/root/.m2/repository/io/micrometer/micrometer-observation/1.15.0/micrometer-observation-1.15.0.jar:/root/.m2/repository/io/micrometer/micrometer-commons/1.15.0/micrometer-commons-1.15.0.jar:/root/.m2/repository/io/micrometer/micrometer-jakarta9/1.15.0/micrometer-jakarta9-1.15.0.jar:/root/.m2/repository/io/micrometer/micrometer-core/1.15.0/micrometer-core-1.15.0.jar:/root/.m2/repository/org/hdrhistogram/HdrHistogram/2.2.2/HdrHistogram-2.2.2.jar:/root/.m2/repository/org/latencyutils/LatencyUtils/2.0.3/LatencyUtils-2.0.3.jar:/root/.m2/repository/com/zaxxer/HikariCP/6.3.0/HikariCP-6.3.0.jar:/root/.m2/repository/org/springframework/spring-jdbc/6.2.7/spring-jdbc-6.2.7.jar:/root/.m2/repository/org/hibernate/orm/hibernate-core/6.6.15.Final/hibernate-core-6.6.15.Final.jar:/root/.m2/repository/jakarta/persistence/jakarta.persistence-api/3.1.0/jakarta.persistence-api-3.1.0.jar:/root/.m2/repository/jakarta/transaction/jakarta.transaction-api/2.0.1/jakarta.transaction-api-2.0.1.jar:/root/.m2/repository/org/jboss/logging/jboss-logging/3.6.1.Final/jboss-logging-3.6.1.Final.jar:/root/.m2/repository/org/hibernate/common/hibernate-commons-annotations/7.0.3.Final/hibernate-commons-annotations-7.0.3.Final.jar:/root/.m2/repository/io/smallrye/jandex/3.2.0/jandex-3.2.0.jar:/root/.m2/repository/com/fasterxml/classmate/1.7.0/classmate-1.7.0.jar:/root/.m2/repository/net/bytebuddy/byte-buddy/1.17.5/byte-buddy-1.17.5.jar:/root/.m2/repository/org/glassfish/jaxb/jaxb-runtime/4.0.5/jaxb-runtime-4.0.5.jar:/root/.m2/repository/org/glassfish/jaxb/jaxb-core/4.0.5/jaxb-core-4.0.5.jar:/root/.m2/repository/org/eclipse/angus/angus-activation/2.0.2/angus-activation-2.0.2.jar:/root/.m2/repository/org/glassfish/jaxb/txw2/4.0.5/txw2-4.0.5.jar:/root/.m2/repository/com/sun/istack/istack-commons-runtime/4.1.2/istack-commons-runtime-4.1.2.jar:/root/.m2/repository/jakarta/inject/jakarta.inject-api/2.0.1/jakarta.inject-api-2.0.1.jar:/root/.m2/repository/org/antlr/antlr4-runtime/4.13.0/antlr4-runtime-4.13.0.jar:/root/.m2/repository/org/springframework/data/spring-data-jpa/3.5.0/spring-data-jpa-3.5.0.jar:/root/.m2/repository/org/springframework/data/spring-data-commons/3.5.0/spring-data-commons-3.5.0.jar:/root/.m2/repository/org/springframework/spring-orm/6.2.7/spring-orm-6.2.7.jar:/root/.m2/repository/org/springframework/spring-context/6.2.7/spring-context-6.2.7.jar:/root/.m2/repository/org/springframework/spring-tx/6.2.7/spring-tx-6.2.7.jar:/root/.m2/repository/org/springframework/spring-beans/6.2.7/spring-beans-6.2.7.jar:/root/.m2/repository/org/slf4j/slf4j-api/2.0.17/slf4j-api-2.0.17.jar:/root/.m2/repository/org/springframework/spring-aspects/6.2.7/spring-aspects-6.2.7.jar:/root/.m2/repository/org/aspectj/aspectjweaver/1.9.24/aspectjweaver-1.9.24.jar:/root/.m2/repository/com/fasterxml/jackson/datatype/jackson-datatype-jdk8/2.19.0/jackson-datatype-jdk8-2.19.0.jar:/root/.m2/repository/com/fasterxml/jackson/module/jackson-module-parameter-names/2.19.0/jackson-module-parameter-names-2.19.0.jar:/root/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/10.1.41/tomcat-embed-core-10.1.41.jar:/root/.m2/repository/org/apache/tomcat/embed/tomcat-embed-websocket/10.1.41/tomcat-embed-websocket-10.1.41.jar:/root/.m2/repository/org/springframework/spring-web/6.2.7/spring-web-6.2.7.jar:/root/.m2/repository/org/springframework/spring-webmvc/6.2.7/spring-webmvc-6.2.7.jar:/root/.m2/repository/org/springframework/spring-expression/6.2.7/spring-expression-6.2.7.jar:/root/.m2/repository/org/springframework/spring-messaging/6.2.7/spring-messaging-6.2.7.jar:/root/.m2/repository/org/springframework/spring-websocket/6.2.7/spring-websocket-6.2.7.jar:/root/.m2/repository/org/postgresql/postgresql/42.7.5/postgresql-42.7.5.jar:/root/.m2/repository/org/checkerframework/checker-qual/3.48.3/checker-qual-3.48.3.jar:/root/.m2/repository/jakarta/xml/bind/jakarta.xml.bind-api/4.0.2/jakarta.xml.bind-api-4.0.2.jar:/root/.m2/repository/jakarta/activation/jakarta.activation-api/2.1.3/jakarta.activation-api-2.1.3.jar:/root/.m2/repository/org/springframework/spring-core/6.2.7/spring-core-6.2.7.jar:/root/.m2/repository/org/springframework/spring-jcl/6.2.7/spring-jcl-6.2.7.jar:/root/.m2/repository/org/springframework/boot/spring-boot-devtools/3.5.0/spring-boot-devtools-3.5.0.jar:/root/.m2/repository/org/springframework/boot/spring-boot/3.5.0/spring-boot-3.5.0.jar:/root/.m2/repository/org/springframework/boot/spring-boot-autoconfigure/3.5.0/spring-boot-autoconfigure-3.5.0.jar:/root/.m2/repository/org/springframework/spring-aop/6.2.7/spring-aop-6.2.7.jar:/root/.m2/repository/org/springframework/security/spring-security-config/6.5.0/spring-security-config-6.5.0.jar:/root/.m2/repository/org/springframework/security/spring-security-web/6.5.0/spring-security-web-6.5.0.jar:/root/.m2/repository/io/jsonwebtoken/jjwt-api/0.11.5/jjwt-api-0.11.5.jar:/root/.m2/repository/io/jsonwebtoken/jjwt-impl/0.11.5/jjwt-impl-0.11.5.jar:/root/.m2/repository/io/jsonwebtoken/jjwt-jackson/0.11.5/jjwt-jackson-0.11.5.jar:/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.19.0/jackson-databind-2.19.0.jar:/root/.m2/repository/com/fasterxml/jackson/core/jackson-annotations/2.19.0/jackson-annotations-2.19.0.jar:/root/.m2/repository/com/fasterxml/jackson/core/jackson-core/2.19.0/jackson-core-2.19.0.jar:/root/.m2/repository/org/apache/tomcat/embed/tomcat-embed-el/10.1.41/tomcat-embed-el-10.1.41.jar:/root/.m2/repository/org/hibernate/validator/hibernate-validator/8.0.2.Final/hibernate-validator-8.0.2.Final.jar:/root/.m2/repository/jakarta/validation/jakarta.validation-api/3.0.2/jakarta.validation-api-3.0.2.jar:/root/.m2/repository/com/h2database/h2/2.3.232/h2-2.3.232.jar:/root/.m2/repository/org/springframework/security/spring-security-core/6.5.0/spring-security-core-6.5.0.jar:/root/.m2/repository/org/springframework/security/spring-security-crypto/6.5.0/spring-security-crypto-6.5.0.jar com.posfin.pos_finanzas_backend.PosFinanzasBackendApplication"
"pos_backend","CPU",0.10,"/opt/java/openjdk/bin/java --enable-native-access=ALL-UNNAMED -classpath /root/.m2/wrapper/dists/apache-maven-3.9.10/e5402a93/boot/plexus-classworlds-2.9.0.jar -Dclassworlds.conf=/root/.m2/wrapper/dists/apache-maven-3.9.10/e5402a93/bin/m2.conf -Dmaven.home=/root/.m2/wrapper/dists/apache-maven-3.9.10/e5402a93 -Dlibrary.jansi.path=/root/.m2/wrapper/dists/apache-maven-3.9.10/e5402a93/lib/jansi-native -Dmaven.multiModuleProjectDirectory=/app org.codehaus.plexus.classworlds.launcher.Launcher spring-boot:run"
"pos_backend","CPU",0.00,"COMMAND"
"pos_backend","MEM",2.60,"/opt/java/openjdk/bin/java -XX:TieredStopAtLevel=1 -cp /app/target/classes:/root/.m2/repository/ch/qos/logback/logback-classic/1.5.18/logback-classic-1.5.18.jar:/root/.m2/repository/ch/qos/logback/logback-core/1.5.18/logback-core-1.5.18.jar:/root/.m2/repository/org/apache/logging/log4j/log4j-to-slf4j/2.24.3/log4j-to-slf4j-2.24.3.jar:/root/.m2/repository/org/apache/logging/log4j/log4j-api/2.24.3/log4j-api-2.24.3.jar:/root/.m2/repository/org/slf4j/jul-to-slf4j/2.0.17/jul-to-slf4j-2.0.17.jar:/root/.m2/repository/jakarta/annotation/jakarta.annotation-api/2.1.1/jakarta.annotation-api-2.1.1.jar:/root/.m2/repository/org/yaml/snakeyaml/2.4/snakeyaml-2.4.jar:/root/.m2/repository/org/springframework/boot/spring-boot-actuator-autoconfigure/3.5.0/spring-boot-actuator-autoconfigure-3.5.0.jar:/root/.m2/repository/org/springframework/boot/spring-boot-actuator/3.5.0/spring-boot-actuator-3.5.0.jar:/root/.m2/repository/com/fasterxml/jackson/datatype/jackson-datatype-jsr310/2.19.0/jackson-datatype-jsr310-2.19.0.jar:/root/.m2/repository/io/micrometer/micrometer-observation/1.15.0/micrometer-observation-1.15.0.jar:/root/.m2/repository/io/micrometer/micrometer-commons/1.15.0/micrometer-commons-1.15.0.jar:/root/.m2/repository/io/micrometer/micrometer-jakarta9/1.15.0/micrometer-jakarta9-1.15.0.jar:/root/.m2/repository/io/micrometer/micrometer-core/1.15.0/micrometer-core-1.15.0.jar:/root/.m2/repository/org/hdrhistogram/HdrHistogram/2.2.2/HdrHistogram-2.2.2.jar:/root/.m2/repository/org/latencyutils/LatencyUtils/2.0.3/LatencyUtils-2.0.3.jar:/root/.m2/repository/com/zaxxer/HikariCP/6.3.0/HikariCP-6.3.0.jar:/root/.m2/repository/org/springframework/spring-jdbc/6.2.7/spring-jdbc-6.2.7.jar:/root/.m2/repository/org/hibernate/orm/hibernate-core/6.6.15.Final/hibernate-core-6.6.15.Final.jar:/root/.m2/repository/jakarta/persistence/jakarta.persistence-api/3.1.0/jakarta.persistence-api-3.1.0.jar:/root/.m2/repository/jakarta/transaction/jakarta.transaction-api/2.0.1/jakarta.transaction-api-2.0.1.jar:/root/.m2/repository/org/jboss/logging/jboss-logging/3.6.1.Final/jboss-logging-3.6.1.Final.jar:/root/.m2/repository/org/hibernate/common/hibernate-commons-annotations/7.0.3.Final/hibernate-commons-annotations-7.0.3.Final.jar:/root/.m2/repository/io/smallrye/jandex/3.2.0/jandex-3.2.0.jar:/root/.m2/repository/com/fasterxml/classmate/1.7.0/classmate-1.7.0.jar:/root/.m2/repository/net/bytebuddy/byte-buddy/1.17.5/byte-buddy-1.17.5.jar:/root/.m2/repository/org/glassfish/jaxb/jaxb-runtime/4.0.5/jaxb-runtime-4.0.5.jar:/root/.m2/repository/org/glassfish/jaxb/jaxb-core/4.0.5/jaxb-core-4.0.5.jar:/root/.m2/repository/org/eclipse/angus/angus-activation/2.0.2/angus-activation-2.0.2.jar:/root/.m2/repository/org/glassfish/jaxb/txw2/4.0.5/txw2-4.0.5.jar:/root/.m2/repository/com/sun/istack/istack-commons-runtime/4.1.2/istack-commons-runtime-4.1.2.jar:/root/.m2/repository/jakarta/inject/jakarta.inject-api/2.0.1/jakarta.inject-api-2.0.1.jar:/root/.m2/repository/org/antlr/antlr4-runtime/4.13.0/antlr4-runtime-4.13.0.jar:/root/.m2/repository/org/springframework/data/spring-data-jpa/3.5.0/spring-data-jpa-3.5.0.jar:/root/.m2/repository/org/springframework/data/spring-data-commons/3.5.0/spring-data-commons-3.5.0.jar:/root/.m2/repository/org/springframework/spring-orm/6.2.7/spring-orm-6.2.7.jar:/root/.m2/repository/org/springframework/spring-context/6.2.7/spring-context-6.2.7.jar:/root/.m2/repository/org/springframework/spring-tx/6.2.7/spring-tx-6.2.7.jar:/root/.m2/repository/org/springframework/spring-beans/6.2.7/spring-beans-6.2.7.jar:/root/.m2/repository/org/slf4j/slf4j-api/2.0.17/slf4j-api-2.0.17.jar:/root/.m2/repository/org/springframework/spring-aspects/6.2.7/spring-aspects-6.2.7.jar:/root/.m2/repository/org/aspectj/aspectjweaver/1.9.24/aspectjweaver-1.9.24.jar:/root/.m2/repository/com/fasterxml/jackson/datatype/jackson-datatype-jdk8/2.19.0/jackson-datatype-jdk8-2.19.0.jar:/root/.m2/repository/com/fasterxml/jackson/module/jackson-module-parameter-names/2.19.0/jackson-module-parameter-names-2.19.0.jar:/root/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/10.1.41/tomcat-embed-core-10.1.41.jar:/root/.m2/repository/org/apache/tomcat/embed/tomcat-embed-websocket/10.1.41/tomcat-embed-websocket-10.1.41.jar:/root/.m2/repository/org/springframework/spring-web/6.2.7/spring-web-6.2.7.jar:/root/.m2/repository/org/springframework/spring-webmvc/6.2.7/spring-webmvc-6.2.7.jar:/root/.m2/repository/org/springframework/spring-expression/6.2.7/spring-expression-6.2.7.jar:/root/.m2/repository/org/springframework/spring-messaging/6.2.7/spring-messaging-6.2.7.jar:/root/.m2/repository/org/springframework/spring-websocket/6.2.7/spring-websocket-6.2.7.jar:/root/.m2/repository/org/postgresql/postgresql/42.7.5/postgresql-42.7.5.jar:/root/.m2/repository/org/checkerframework/checker-qual/3.48.3/checker-qual-3.48.3.jar:/root/.m2/repository/jakarta/xml/bind/jakarta.xml.bind-api/4.0.2/jakarta.xml.bind-api-4.0.2.jar:/root/.m2/repository/jakarta/activation/jakarta.activation-api/2.1.3/jakarta.activation-api-2.1.3.jar:/root/.m2/repository/org/springframework/spring-core/6.2.7/spring-core-6.2.7.jar:/root/.m2/repository/org/springframework/spring-jcl/6.2.7/spring-jcl-6.2.7.jar:/root/.m2/repository/org/springframework/boot/spring-boot-devtools/3.5.0/spring-boot-devtools-3.5.0.jar:/root/.m2/repository/org/springframework/boot/spring-boot/3.5.0/spring-boot-3.5.0.jar:/root/.m2/repository/org/springframework/boot/spring-boot-autoconfigure/3.5.0/spring-boot-autoconfigure-3.5.0.jar:/root/.m2/repository/org/springframework/spring-aop/6.2.7/spring-aop-6.2.7.jar:/root/.m2/repository/org/springframework/security/spring-security-config/6.5.0/spring-security-config-6.5.0.jar:/root/.m2/repository/org/springframework/security/spring-security-web/6.5.0/spring-security-web-6.5.0.jar:/root/.m2/repository/io/jsonwebtoken/jjwt-api/0.11.5/jjwt-api-0.11.5.jar:/root/.m2/repository/io/jsonwebtoken/jjwt-impl/0.11.5/jjwt-impl-0.11.5.jar:/root/.m2/repository/io/jsonwebtoken/jjwt-jackson/0.11.5/jjwt-jackson-0.11.5.jar:/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.19.0/jackson-databind-2.19.0.jar:/root/.m2/repository/com/fasterxml/jackson/core/jackson-annotations/2.19.0/jackson-annotations-2.19.0.jar:/root/.m2/repository/com/fasterxml/jackson/core/jackson-core/2.19.0/jackson-core-2.19.0.jar:/root/.m2/repository/org/apache/tomcat/embed/tomcat-embed-el/10.1.41/tomcat-embed-el-10.1.41.jar:/root/.m2/repository/org/hibernate/validator/hibernate-validator/8.0.2.Final/hibernate-validator-8.0.2.Final.jar:/root/.m2/repository/jakarta/validation/jakarta.validation-api/3.0.2/jakarta.validation-api-3.0.2.jar:/root/.m2/repository/com/h2database/h2/2.3.232/h2-2.3.232.jar:/root/.m2/repository/org/springframework/security/spring-security-core/6.5.0/spring-security-core-6.5.0.jar:/root/.m2/repository/org/springframework/security/spring-security-crypto/6.5.0/spring-security-crypto-6.5.0.jar com.posfin.pos_finanzas_backend.PosFinanzasBackendApplication"
"pos_backend","MEM",0.50,"/opt/java/openjdk/bin/java --enable-native-access=ALL-UNNAMED -classpath /root/.m2/wrapper/dists/apache-maven-3.9.10/e5402a93/boot/plexus-classworlds-2.9.0.jar -Dclassworlds.conf=/root/.m2/wrapper/dists/apache-maven-3.9.10/e5402a93/bin/m2.conf -Dmaven.home=/root/.m2/wrapper/dists/apache-maven-3.9.10/e5402a93 -Dlibrary.jansi.path=/root/.m2/wrapper/dists/apache-maven-3.9.10/e5402a93/lib/jansi-native -Dmaven.multiModuleProjectDirectory=/app org.codehaus.plexus.classworlds.launcher.Launcher spring-boot:run"
"pos_backend","MEM",0.00,"ps aux --sort=-"
"pos_backend","MEM",0.00,"COMMAND"
"pos_database","CPU",50.00,"ps aux --sort=-"
"pos_database","CPU",0.00,"postgres: walwriter"
"pos_database","CPU",0.00,"postgres: postgres pos_finanzas 172.19.0.3(34266) idle"
"pos_database","CPU",0.00,"postgres: background writer"
"pos_database","CPU",0.00,"postgres"
"pos_database","MEM",0.10,"postgres: postgres pos_finanzas 172.19.0.3(34266) idle"
"pos_database","MEM",0.00,"ps aux --sort=-"
"pos_database","MEM",0.00,"postgres: walwriter"
"pos_database","MEM",0.00,"postgres: background writer"
"pos_database","MEM",0.00,"postgres"
"pos_ml_prediction_api","CPU",0.00,"process: exec: "ps": executable file not found in $PATH"
"pos_ml_prediction_api","MEM",0.00,"process: exec: "ps": executable file not found in $PATH"
